ix,iy,x,y,rho,eigvec
4,26,-4.8,4,0.0296833527777056,-3.67707115396788e-05
4,27,-4.8,4.4,0.0295891219057317,-2.28899143154448e-05
4,28,-4.8,4.8,0.0295289875034656,-1.35180199382283e-05
4,29,-4.8,5.2,0.0294922284012235,-7.79716604430658e-06
4,30,-4.8,5.6,0.0294701038396735,-4.50951233370424e-06
4,31,-4.8,6,0.0294967504674162,-8.27770896729595e-08
5,0,-4.4,-6.4,0.0294967504674162,7.89151224852013e-09
5,1,-4.4,-6,0.0294698347569213,-4.94011384040142e-06
5,2,-4.4,-5.6,0.0294887797325235,-8.00454325486331e-06
5,3,-4.4,-5.2,0.029525066842225,-1.36016430976954e-05
5,4,-4.4,-4.8,0.0295886703696761,-2.31361606979506e-05
5,5,-4.4,-4.4,0.0296944687570737,-3.87038582500531e-05
5,6,-4.4,-4,0.0298628635357255,-6.3904610711794e-05
5,7,-4.4,-3.6,0.0301215127290521,-0.000103080739569802
5,8,-4.4,-3.2,0.0305034206339486,-0.000161061704141546
5,9,-4.4,-2.8,0.0310415706554095,-0.000244119857408375
5,10,-4.4,-2.4,0.0317582829588183,-0.000354968767384011
5,11,-4.4,-2,0.0326496853220406,-0.000493457432798954
5,12,-4.4,-1.6,0.0336686523249198,-0.000652841040426577
5,13,-4.4,-1.2,0.0347145580667401,-0.000816745746650536
5,14,-4.4,-0.8,0.0356403190715435,-0.000962713621614456
5,15,-4.4,-0.4,0.0362831692089338,-0.00106434361089118
5,16,-4.4,0,0.0365138794636379,-0.00110072077399171
5,17,-4.4,0.4,0.0362830113658638,-0.00106461995015346
5,18,-4.4,0.8,0.035640036730688,-0.000962682929791766
5,19,-4.4,1.2,0.0347142047013898,-0.00081680153330671
5,20,-4.4,1.6,0.0336682850986001,-0.000652554013972114
5,21,-4.4,2,0.0326493480892966,-0.000493537112352137
5,22,-4.4,2.4,0.0317580045913103,-0.0003548829258375
5,23,-4.4,2.8,0.0310413604730679,-0.000243885245848724
5,24,-4.4,3.2,0.0305032866249381,-0.000161199672929304
5,25,-4.4,3.6,0.0301214634946273,-0.000103057306755525
5,26,-4.4,4,0.0298629266766393,-6.38084841828887e-05
5,27,-4.4,4.4,0.0296947047307646,-3.8574215670332e-05
5,28,-4.4,4.8,0.0295893994226849,-2.25101980116619e-05
5,29,-4.4,5.2,0.0295259080775502,-1.27324414428607e-05
5,30,-4.4,5.6,0.0294889102282152,-7.15784205379405e-06
5,31,-4.4,6,0.0294967504674162,1.9267450943751e-07
6,0,-4,-6.4,0.0294967504674162,1.76491933391625e-07
6,1,-4,-6,0.0294869123622414,-7.24149279614822e-06
6,2,-4,-5.6,0.0295173746522647,-1.18679008683159e-05
6,3,-4,-5.2,0.0295771770805363,-2.09066801694114e-05
6,4,-4,-4.8,0.0296831622151135,-3.70059251338391e-05
6,5,-4,-4.4,0.0298628635357255,-6.4042046293779e-05
6,6,-4,-4,0.0301571974357831,-0.0001088872720415
6,7,-4,-3.6,0.0306238159951581,-0.000179793326081356
6,8,-4,-3.2,0.0313359349560535,-0.000289734874463992
6,9,-4,-2.8,0.0323737182874185,-0.000450529481086795
6,10,-4,-2.4,0.0338034363150983,-0.000673797183479499
6,11,-4,-2,0.0356420408365396,-0.000962929504250563
6,12,-4,-1.6,0.037812006471685,-0.00130610001574041
6,13,-4,-1.2,0.0401044965431603,-0.00167065949609974
6,14,-4,-0.8,0.0421823819136027,-0.00200228295369287
6,15,-4,-0.4,0.0436502278351066,-0.00223556650782921
6,16,-4,0,0.0441817725622239,-0.00232183480929169
